"people_id","party","legislator_name","last_name","ballotpedia","district_number","chamber","termination_date","setting_party_loyalty","leg_party_loyalty","leg_n_votes_denom_loyalty","leg_n_votes_party_line_partisan","leg_n_votes_party_line_bipartisan","leg_n_votes_cross_party","leg_n_votes_absent_nv","leg_n_votes_independent","leg_n_votes_other","rank_partisan_leg_R","rank_partisan_leg_D","n_white","n_hispanic","n_black","n_asian","n_native","n_pacific","n_total_demo","pct_white","pct_hispanic","pct_black","pct_asian","pct_napi","source_demo","year_demo","avg_pct_D","avg_pct_R","avg_party_lean","avg_party_lean_points_abs","avg_party_lean_points_R","incumb_people_id","rank_partisan_dist_R","rank_partisan_dist_D"
23359,"R","Adam Anderson","Anderson","http://ballotpedia.org/Adam_Anderson",57,"House",NA,"partisan_cross",0.990610328638498,213,211,1052,2,82,1,0,39,NA,123338,10473,6106,3529,607,35,144207,0.855284417538677,0.072624768561859,0.0423419112803123,0.0244717662804163,0.00445193367867024,"CVAP",2022,0.415830988552532,0.570459412752059,"R",15,15,23359,48,72
22261,"R","Adam Botana","Botana","http://ballotpedia.org/Adam_Botana",80,"House",NA,"partisan_cross",0.990654205607477,214,212,992,2,38,0,0,38,NA,133772,10650,2097,2686,477,53,149903,0.892390412466728,0.0710459430431679,0.0139890462499083,0.0179182538041267,0.00353561970073981,"CVAP",2022,0.339456088222272,0.652638872546005,"R",31,31,22261,19,102
21782,"R","Alejandro Rizo","Rizo","http://ballotpedia.org/Alex_Rizo",112,"House",NA,"partisan_cross",0.995391705069124,217,216,1025,1,33,1,0,27,NA,5155,91512,1733,458,82,4,98989,0.0520764933477457,0.924466354847508,0.0175069957267979,0.00462677671256402,0.000868783400175777,"CVAP",2022,0.342983257690758,0.648363355710255,"R",31,31,21782,21,104
19919,"R","Alex Andrade","Andrade","http://ballotpedia.org/Alex_Andrade",2,"House",NA,"partisan_cross",0.979381443298969,194,190,963,4,44,4,0,63,NA,102889,6984,25864,4420,2075,230,143001,0.719498465045699,0.0488388193089559,0.180865868070853,0.0309088747631135,0.016118768400221,"CVAP",2022,0.393921622563684,0.586063438960723,"R",19,19,19919,42,76
23320,"R","Alexis Calatayud","Calatayud","http://ballotpedia.org/Alexis_Calatayud",38,"Senate",NA,"partisan_cross",0.965714285714286,175,169,1258,6,45,0,0,21,NA,73729,214893,44747,7750,895,75,343405,0.214699844207277,0.625771319578923,0.13030386860995,0.0225681047160059,0.00282465310639041,"CVAP",2022,0.518889667397938,0.470930320379531,"D",5,-5,23320,28,13
23330,"R","Alina Garcia","Garcia","http://ballotpedia.org/Alina_Garcia",115,"House",NA,"partisan_cross",0.975369458128079,203,198,897,5,16,4,0,67,NA,33449,75952,6548,2994,300,30,119795,0.27921866521975,0.634016444759798,0.0546600442422472,0.0249926958554197,0.00275470595600818,"CVAP",2022,0.47219125251499,0.517788076270135,"R",5,5,23330,70,53
21700,"D","Allison Tant","Tant","http://ballotpedia.org/Allison_Tant",9,"House",NA,"partisan_cross",0.850515463917526,194,165,1031,29,83,5,7,NA,28,103723,8039,26577,4010,934,70,143562,0.722496203730792,0.0559967122218972,0.185125590337276,0.0279321826109973,0.00699349410011006,"CVAP",2022,0.523551978854558,0.462137281994059,"D",6,-6,21700,82,38
20905,"R","Ana Rodriguez","Rodriguez","http://ballotpedia.org/Ana_Maria_Rodriguez",40,"Senate",NA,"partisan_cross",0.970443349753695,203,197,1606,6,14,1,0,20,NA,82624,238688,25654,5748,1024,149,354498,0.233073247239759,0.673312684415709,0.0723671219583749,0.0162144779378163,0.00330890442259195,"CVAP",2022,0.429840148425817,0.559571117543529,"R",13,13,20905,22,19
22550,"D","Angela Nixon","Nixon","http://ballotpedia.org/Angela_Nixon",13,"House",NA,"partisan_cross",0.989071038251366,183,181,826,2,172,61,9,NA,2,58635,7173,66298,3299,835,120,136400,0.429875366568915,0.0525879765395894,0.486055718475073,0.0241862170087977,0.00700146627565982,"CVAP",2022,0.617712099531427,0.366984013946359,"D",25,-25,22550,101,20
19701,"D","Anna Eskamani","Eskamani","http://ballotpedia.org/Anna_Eskamani",42,"House",NA,"partisan_cross",0.971311475409836,244,237,1051,7,12,49,11,NA,9,97458,25943,12813,5880,995,10,143534,0.678988950353226,0.180744631933897,0.0892680479886299,0.0409659035489849,0.00700182535148467,"CVAP",2022,0.563758607936144,0.419839212043601,"D",14,-14,19701,92,29
23329,"D","Ashley Gantt","Gantt","http://ballotpedia.org/Ashley_Gantt",109,"House",NA,"partisan_cross",0.972,250,243,1050,7,62,70,13,NA,8,5564,52772,49914,873,162,59,109392,0.0508629515869533,0.482411876554044,0.45628565160158,0.00798047389205792,0.00202025742284628,"CVAP",2022,0.759898522770007,0.229014159935405,"D",53,-53,23329,116,6
12360,"R","Ben Albritton","Albritton","http://ballotpedia.org/Ben_Albritton",27,"Senate",NA,"partisan_cross",1,166,166,1233,0,121,0,0,3,NA,313127,58035,35067,6530,2656,333,416617,0.751594390051294,0.139300604632072,0.0841708331633131,0.0156738683251044,0.00717445519505925,"CVAP",2022,0.333286097573748,0.654635446807836,"R",32,32,12360,4,37
23354,"R","Berny Jacques","Jacques","http://ballotpedia.org/Berny_Jacques",59,"House",NA,"partisan_cross",1,267,267,1190,0,20,21,0,1,NA,117192,12158,10062,4401,1353,110,145415,0.805914107898085,0.0836089811917615,0.0691950624075921,0.0302651033249665,0.0100608602963931,"CVAP",2022,0.426530052589178,0.558028387862726,"R",13,13,23354,53,68
17099,"R","Blaise Ingoglia","Ingoglia","http://ballotpedia.org/Blaise_Ingoglia",11,"Senate",NA,"partisan_cross",0.971014492753623,138,134,1025,4,55,7,0,19,NA,383867,36580,20761,5630,3467,200,451583,0.850047499573722,0.0810039350462706,0.04597382983859,0.0124672540817524,0.00812032339569913,"CVAP",2022,0.303815180229548,0.684617588685299,"R",38,38,17099,2,39
18944,"R","Bob Rommel","Rommel","http://ballotpedia.org/Bob_Rommel",81,"House",NA,"partisan_cross",0.99,200,198,925,2,16,0,1,41,NA,119010,13917,5630,2201,537,25,141400,0.841654879773692,0.0984229137199434,0.0398161244695898,0.0155657708628006,0.00397454031117397,"CVAP",2022,0.339020144583902,0.651908702448801,"R",31,31,18944,20,103
18934,"R","Bobby Payne","Payne","http://ballotpedia.org/Bobby_Payne_(Florida)",20,"House",NA,"partisan_cross",1,222,222,995,0,29,0,0,8,NA,113182,8320,13684,887,1550,95,137788,0.821421313902517,0.0603826167735942,0.0993119865300316,0.00643742561035794,0.011938630359683,"CVAP",2022,0.263285532390859,0.724356322853547,"R",46,46,18934,5,116
15147,"D","Bobby Powell","Powell","http://ballotpedia.org/Bobby_Powell",24,"Senate",NA,"partisan_cross",0.921875,128,118,1054,10,17,28,7,NA,9,164808,83264,88859,8286,1618,234,347429,0.474364546425313,0.23965759910658,0.2557616088467,0.0238494771593621,0.00533058552970535,"CVAP",2022,0.594136496958001,0.394936852995036,"D",20,-20,15147,35,6
23333,"R","Brad Yeager","Yeager","http://ballotpedia.org/",56,"House",NA,"partisan_cross",1,204,204,1003,0,104,2,0,12,NA,107857,15945,5997,1704,812,94,132630,0.813217220839931,0.120221669305587,0.0452160144763628,0.0128477719972857,0.00683103370278218,"CVAP",2022,0.376021500506657,0.607186986146575,"R",23,23,23333,33,86
15947,"D","Bruce Antone","Antone","http://ballotpedia.org/Bruce_Antone",41,"House",NA,"partisan_cross",0.895604395604396,182,163,946,19,77,9,5,NA,22,24426,25896,45181,4889,981,10,101695,0.240188799842667,0.254643787796843,0.444279463100447,0.0480751266040612,0.00974482521264566,"CVAP",2022,0.759913227393,0.225823103742422,"D",53,-53,15947,115,5
17173,"R","Bryan Avila","Avila","http://ballotpedia.org/Bryan_Avila",39,"Senate",NA,"partisan_cross",0.984375,128,126,1023,2,124,0,0,16,NA,16465,268215,12856,2992,287,24,301200,0.0546646746347942,0.890488047808765,0.0426826029216467,0.009933598937583,0.00103253652058433,"CVAP",2022,0.3882691949798,0.602615253374533,"R",21,21,17173,12,30
23345,"R","Carolina Amesty","Amesty","http://ballotpedia.org/Carolina_Amesty",45,"House",NA,"partisan_cross",0.995238095238095,210,209,1040,1,151,2,0,29,NA,69267,20472,8447,8868,628,35,108274,0.639738071928626,0.189075863088091,0.0780150359273695,0.0819033193564475,0.00612335371372629,"CVAP",2022,0.495095345342283,0.491219731500322,"D",0,0,23345,79,43
23332,"R","Chase Tramont","Tramont","http://ballotpedia.org/Chase_Tramont",30,"House",NA,"partisan_cross",1,176,176,827,0,350,0,0,16,NA,130034,7364,8264,2061,1325,39,149413,0.870299103826307,0.0492862066888423,0.0553097789348986,0.0137939804434688,0.00912905838180078,"CVAP",2022,0.353325555150014,0.633299954269188,"R",28,28,23332,24,98
20907,"R","Chip LaMarca","LaMarca","http://ballotpedia.org/Chip_LaMarca",100,"House",NA,"partisan_cross",0.960199004975124,201,193,949,8,50,2,1,76,NA,99273,21692,10633,2995,852,55,135734,0.731379020731725,0.159812574594427,0.0783370415665935,0.0220652157897063,0.00668218721911975,"CVAP",2022,0.480310023583887,0.510766038187444,"R",3,3,20907,74,47
21888,"D","Christine Hunschofsky","Hunschofsky","http://ballotpedia.org/Christine_Hunschofsky",95,"House",NA,"partisan_cross",0.895522388059702,201,180,1005,21,48,6,4,NA,23,62294,26709,28743,5982,548,0,124634,0.499815459665902,0.214299468844778,0.230619253173291,0.0479965338511161,0.00439687404721023,"CVAP",2022,0.593556705857039,0.397205941637465,"D",20,-20,21888,99,23
22528,"D","Christopher Benjamin","Benjamin","http://ballotpedia.org/Christopher_Benjamin",107,"House",NA,"partisan_cross",0.899470899470899,189,170,917,19,160,12,8,NA,20,14307,35331,63135,1894,523,60,115510,0.123859406112025,0.305869621677777,0.546576054021297,0.0163968487576833,0.00504718206215912,"CVAP",2022,0.769247620654112,0.221212114781924,"D",55,-55,22528,118,3
19912,"R","Chuck Brannan","Brannan","http://ballotpedia.org/Chuck_Brannan",10,"House",NA,"partisan_cross",0.995535714285714,224,223,1022,1,126,2,0,24,NA,103229,6992,23530,1406,2485,20,137744,0.749426472296434,0.0507608316877686,0.170824137530491,0.0102073411546056,0.0181859100940876,"CVAP",2022,0.267784421202939,0.720357310520352,"R",45,45,19912,6,115
19037,"R","Chuck Clemons","Clemons","http://ballotpedia.org/Chuck_Clemons",22,"House",NA,"partisan_cross",0.988505747126437,174,172,823,2,45,2,0,46,NA,114104,12881,13278,7150,1109,28,148694,0.767374608255881,0.086627570715698,0.0892974834223304,0.0480853296030775,0.00764657619002784,"CVAP",2022,0.468795305105562,0.515691044625597,"R",5,5,19037,68,51
19070,"R","Clay Yarborough","Yarborough","http://ballotpedia.org/Clay_Yarborough",4,"Senate",NA,"partisan_cross",0.976303317535545,211,206,1411,5,242,14,0,18,NA,292377,33872,52880,20844,3356,322,405351,0.721293397573954,0.0835621473735109,0.130454840372911,0.0514221008459335,0.00907361767949259,"CVAP",2022,0.365579884884493,0.619389250813103,"R",25,25,19070,8,32
16389,"R","Colleen Burton","Burton","http://ballotpedia.org/Colleen_Burton_(Florida)",12,"Senate",NA,"partisan_cross",0.995391705069124,217,216,1603,1,17,1,0,6,NA,238975,88743,60298,6929,2585,169,397938,0.60053324889807,0.223007101608793,0.151526117133825,0.0174122602013379,0.00692067608521931,"CVAP",2022,0.424519500010423,0.561409041005859,"R",14,14,16389,20,20
23325,"R","Corey Simon","Simon","http://ballotpedia.org/Corey_Simon",3,"Senate",NA,"partisan_cross",0.963730569948187,193,186,1462,7,52,0,0,22,NA,270374,23606,120714,6961,4219,202,426800,0.633491096532334,0.0553092783505155,0.282835051546392,0.0163097469540769,0.0103584817244611,"CVAP",2022,0.489679250582086,0.496790839622215,"R",1,1,23325,25,15
17687,"R","Cyndi Stevenson","Stevenson","http://ballotpedia.org/Cyndi_Stevenson",18,"House",NA,"partisan_cross",0.932584269662921,178,166,858,12,141,10,0,81,NA,108349,9552,6473,5450,794,4,130756,0.828635014836795,0.0730520970357001,0.0495044204472452,0.0416806876931078,0.00610297041818349,"CVAP",2022,0.312874009077815,0.674103062767649,"R",36,36,17687,12,109
21381,"D","Dan Daley","Daley","http://ballotpedia.org/Dan_Daley",96,"House",NA,"partisan_cross",0.84390243902439,205,173,1029,32,54,8,4,NA,29,51405,34640,30027,6186,566,55,123190,0.417282246935628,0.281191655166815,0.24374543388262,0.0502151148632194,0.00504099358714181,"CVAP",2022,0.632906636176438,0.357099999509418,"D",28,-28,21381,105,18
22129,"R","Dana Trabulsy","Trabulsy","http://ballotpedia.org/Dana_Trabulsy",84,"House",NA,"partisan_cross",0.985221674876847,203,200,1010,3,56,1,0,57,NA,89488,18798,29356,2173,1014,14,140895,0.635139642996558,0.133418503140637,0.208353738599666,0.0154228326058412,0.00729621349231697,"CVAP",2022,0.451329819438693,0.539024083984749,"R",9,9,22129,64,58
23344,"R","Daniel Alvarez","Alvarez","http://ballotpedia.org/Daniel_Alvarez",69,"House",NA,"partisan_cross",1,217,217,942,0,75,1,0,9,NA,73456,25641,19158,3310,896,25,122698,0.598673165006765,0.208976511434579,0.156139464375947,0.0269768048378947,0.00750623482045347,"CVAP",2022,0.457106813798523,0.52690075886971,"R",7,7,23344,67,55
16595,"R","Daniel Burgess","Burgess","http://ballotpedia.org/Daniel_Burgess",23,"Senate",NA,"partisan_cross",1,171,171,1340,0,40,0,0,2,NA,255353,79786,45200,16925,2490,288,401412,0.636136936613753,0.198763365320419,0.112602513128656,0.0421636622721792,0.00692057038653553,"CVAP",2022,0.41401489460433,0.570859743915057,"R",16,16,16595,18,23
19426,"R","Daniel Perez","Perez","http://ballotpedia.org/Daniel_Anthony_Perez",116,"House",NA,"partisan_cross",1,174,174,732,0,69,0,0,17,NA,12578,97178,2506,1836,81,35,114548,0.109805496385795,0.848360512623529,0.0218772916157419,0.0160282152460104,0.00101267590878933,"CVAP",2022,0.384070884883652,0.605564589919594,"R",22,22,19426,36,85
1706,"D","Darryl Rouson","Rouson","http://ballotpedia.org/Darryl_Rouson",16,"Senate",NA,"partisan_cross",0.844594594594595,148,125,1363,23,33,7,5,NA,10,166624,73137,124122,9142,2380,288,376526,0.442529865135475,0.194241566319457,0.32965054206084,0.0242798638075458,0.00708583205409454,"CVAP",2022,0.663755489277687,0.319510710248109,"D",34,-34,1706,38,3
23066,"D","Daryl Campbell","Campbell","http://ballotpedia.org/Daryl_Campbell",99,"House",NA,"partisan_cross",0.941176470588235,204,192,915,12,82,25,2,NA,15,37994,18620,61429,1998,657,198,121034,0.313911793380372,0.153841069451559,0.507535072789464,0.0165077581506023,0.00706413074012261,"CVAP",2022,0.764230038361409,0.226925984338712,"D",54,-54,23066,117,4
21758,"R","David Borrero","Borrero","http://ballotpedia.org/David_Borrero",111,"House",NA,"partisan_cross",0.995726495726496,234,233,1107,1,69,8,0,23,NA,6066,86855,1512,1321,76,20,96035,0.0631644712865101,0.904409850575311,0.0157442599052429,0.0137554016764721,0.000999635549539231,"CVAP",2022,0.400560438921363,0.589913561738528,"R",19,19,21758,44,78
18797,"D","David Silvers","Silvers","http://ballotpedia.org/David_Silvers",89,"House",NA,"partisan_cross",0.794736842105263,190,151,924,39,156,2,4,NA,32,37154,39212,16024,2808,340,140,96210,0.386176073173267,0.407566780999896,0.166552333437273,0.0291861552853134,0.00498908637355784,"CVAP",2022,0.568768631140048,0.419118148159006,"D",15,-15,18797,93,27
20953,"R","David Smith","Smith","http://ballotpedia.org/David_Smith_(Florida)",38,"House",NA,"partisan_cross",0.960698689956332,229,220,1057,9,6,4,0,75,NA,82536,30792,14562,4450,758,119,133513,0.618186993026896,0.230629227116461,0.109068030828459,0.0333300877068151,0.00656864874581501,"CVAP",2022,0.50514090827172,0.47771065630649,"D",3,-3,20953,81,40
23346,"R","Dean Black","Black","http://ballotpedia.org/Dean_Black",15,"House",NA,"partisan_cross",1,240,240,1078,0,95,0,0,4,NA,99896,7833,25625,2929,1334,63,138048,0.723632359758924,0.0567411335187761,0.185623840982847,0.0212172577654149,0.0101196685210941,"CVAP",2022,0.332003412803209,0.654519098750214,"R",32,32,23346,15,105
1678,"R","Debbie Mayfield","Mayfield","http://ballotpedia.org/Debbie_Mayfield",19,"Senate",NA,"partisan_cross",0.995073891625616,203,202,1511,1,5,0,0,9,NA,329465,43641,39516,11499,3297,330,429285,0.767473822751785,0.101659736538663,0.0920507355253503,0.0267864006429295,0.00844893252734197,"CVAP",2022,0.396377844334241,0.587580287821472,"R",19,19,1678,14,28
22527,"R","Demi Busatta Cabrera","Busatta Cabrera","http://ballotpedia.org/Demi_Busatta_Cabrera",114,"House",NA,"partisan_cross",0.968888888888889,225,218,956,7,64,4,0,70,NA,24455,81792,5784,2370,157,0,114630,0.21333856756521,0.71353048940068,0.0504579952891913,0.0206752159120649,0.00136962400767687,"CVAP",2022,0.486573867605256,0.503602502465698,"R",2,2,22527,75,46
12362,"R","Dennis Baxley","Baxley","http://ballotpedia.org/Dennis_Baxley",13,"Senate",NA,"partisan_cross",1,154,154,1374,0,156,0,0,4,NA,279405,56082,36877,16052,2780,415,392269,0.712279073798847,0.142968218237995,0.0940094679926275,0.0409208986690256,0.00814492095985153,"CVAP",2022,0.404340491115094,0.584078047122105,"R",18,18,12362,15,25
20422,"D","Dianne Hart","Hart","http://ballotpedia.org/Dianne_Hart",63,"House",NA,"partisan_cross",0.98469387755102,196,193,941,3,84,20,2,NA,4,36541,25967,53679,2036,827,149,119040,0.306964045698925,0.218136760752688,0.450932459677419,0.0171034946236559,0.0081989247311828,"CVAP",2022,0.745629370936346,0.236781929421452,"D",51,-51,20422,114,7
20358,"D","Dotie Joseph","Joseph","http://ballotpedia.org/Dotie_Joseph",108,"House",NA,"partisan_cross",0.987179487179487,156,154,786,2,341,32,3,NA,3,16731,36241,57263,1509,303,106,112380,0.148878804057662,0.322486207510233,0.509547962270867,0.0134276561665777,0.00363943762235273,"CVAP",2022,0.805439952809793,0.184293438286728,"D",62,-62,20358,120,1
23338,"R","Doug Bankson","Bankson","http://ballotpedia.org/Doug_Bankson",39,"House",NA,"partisan_cross",0.985781990521327,211,208,946,3,29,1,0,54,NA,73768,24653,22062,4389,749,30,126079,0.585093473139857,0.195536132107647,0.174985524948643,0.0348115070709634,0.00617866575718399,"CVAP",2022,0.473046627066525,0.513131434256722,"R",4,4,23338,71,48
12367,"R","Douglas Broxson","Broxson","http://ballotpedia.org/Doug_Broxson",1,"Senate",NA,"partisan_cross",1,132,132,986,0,429,3,0,5,NA,306195,20113,66214,12319,6455,428,413206,0.741022637619008,0.0486754790588714,0.160244526942978,0.0298132166522267,0.0166575509552136,"CVAP",2022,0.322584657578383,0.658498686356823,"R",34,34,12367,3,38
1664,"R","Ed Hooper","Hooper","http://ballotpedia.org/Ed_Hooper",21,"Senate",NA,"partisan_cross",0.958041958041958,143,137,1337,6,111,3,0,23,NA,342811,40303,22182,9194,2392,232,417378,0.821344201179746,0.0965623487582,0.0531460690309504,0.0220279938089693,0.00628686706055422,"CVAP",2022,0.404764724948708,0.58056504442041,"R",18,18,1664,16,26
19064,"R","Erin Grall","Grall","http://ballotpedia.org/Erin_Grall",29,"Senate",NA,"partisan_cross",0.944444444444444,126,119,881,7,124,16,1,25,NA,298230,56436,54789,6617,3721,42,420236,0.709672660124311,0.134295967028051,0.130376740688565,0.015745914200592,0.00895449223769501,"CVAP",2022,0.380386209186298,0.608911747827245,"R",23,23,19064,10,31
23341,"R","Fabian Basabe","Basabe","http://ballotpedia.org/Fabián_Basabe",106,"House",NA,"partisan_cross",0.963350785340314,191,184,856,7,39,0,0,73,NA,49141,54701,5203,2729,302,0,112153,0.438160370208554,0.487735504177329,0.0463919823812114,0.0243328310433069,0.00269275008247662,"CVAP",2022,0.539338036243222,0.451337259530482,"D",9,-9,23341,87,35
