bill_number,session_year,bill_category
H0001,2023,education
H5101,2023,education
H1285,2024,education
H0931,2024,education
H1317,2024,education
S1264,2024,education
H1349,2024,education
H0883,2024,education
S7002,2024,education
S7004,2024,education
S0994,2024,education
H1473,2024,education
H1403,2024,education
S0046,2024,education
H0917,2024,education
S1688,2024,education
S7032,2024,education
H1361,2024,education
H1291,2024,education
H0537,2024,education
H0523,2024,education
H1329,2024,education
H0019,2023,education
S0190,2023,education
S0196,2023,education
H0225,2023,education
S0240,2023,education
H0265,2023,education
S0290,2023,education
H0301,2023,education
H0379,2023,education
H0389,2023,education
H0443,2023,education
S0478,2023,education
H0551,2023,education
H0633,2023,education
H0733,2023,education
H0795,2023,education
H0891,2023,education
H1035,2023,education
H1069,2023,education