field name,data type,key type,field type,description,constraints,allowed values,example_value,notes
roll_call_id,integer,primary,,,,,,
bill_id,integer,,,,,,,
session,text,,calculated,short description of legislative session,,,"""2023-2024_Regular_Session""",
session_year,text,,,,must be a 4-digit year,,2023,
roll_call_date,text,,,,,,,
roll_call_desc,text,,,,,,,
yea,integer,,,,,,,
nay,integer,,,,,,,
nv,integer,,,,,,,
absent,integer,,,,,,,
n_total,integer,,,total number of votes,,,,
passed,integer,,,1= yes,,,1,
roll_call_chamber,text,,,,,"S, H",,
bill_url,text,,,hyperlink to bill info on Legiscan,,,,
final_vote,text,,calculated,"Y if the word ""third"" is contained in the roll call description",,,,
n_present,integer,,calculated,total of yea + nay votes,,,,
pct_of_present,number,,calculated,(yea + nay)/(n_total,between 0 and 1,,,
R_pct_of_present,number,,calculated,for Republicans: (yea)/(yea+nay),between 0 and 1,,,
D_pct_of_present,number,,calculated,for Democrats: (yea)/(yea+nay),between 0 and 1,,,